trimestre,año,sst_total,anomalia,estado_enso
MAM,1966,27.97,0.66,El Niño
AMJ,1966,27.78,0.35,Neutro
MJJ,1966,27.5,0.24,Neutro
JJA,1966,27.14,0.24,Neutro
JAS,1966,26.69,0.12,Neutro
ASO,1966,26.32,-0.05,Neutro
SON,1966,26.24,-0.1,Neutro
OND,1966,26.16,-0.18,Neutro
NDJ,1966,26.04,-0.3,Neutro
DJF,1967,26.01,-0.41,Neutro
JFM,1967,26.17,-0.48,Neutro
FMA,1967,26.46,-0.53,La Niña
MAM,1967,26.87,-0.45,Neutro
AMJ,1967,27.19,-0.24,Neutro
MJJ,1967,27.26,-0.0,Neutro
JJA,1967,26.95,0.05,Neutro
JAS,1967,26.41,-0.16,Neutro
ASO,1967,26.08,-0.3,Neutro
SON,1967,25.96,-0.38,Neutro
OND,1967,26.0,-0.34,Neutro
NDJ,1967,25.9,-0.44,Neutro
DJF,1968,25.78,-0.64,La Niña
JFM,1968,25.91,-0.74,La Niña
FMA,1968,26.38,-0.62,La Niña
MAM,1968,26.88,-0.44,Neutro
AMJ,1968,27.39,-0.04,Neutro
MJJ,1968,27.54,0.28,Neutro
JJA,1968,27.48,0.58,El Niño
JAS,1968,27.1,0.53,El Niño
ASO,1968,26.82,0.45,Neutro
SON,1968,26.89,0.55,El Niño
OND,1968,27.07,0.73,El Niño
NDJ,1968,27.32,0.98,El Niño
DJF,1969,27.54,1.13,El Niño
JFM,1969,27.73,1.09,El Niño
FMA,1969,27.94,0.95,El Niño
MAM,1969,28.09,0.77,El Niño
AMJ,1969,28.04,0.61,El Niño
MJJ,1969,27.69,0.43,Neutro
JJA,1969,27.26,0.36,Neutro
JAS,1969,27.08,0.51,El Niño
ASO,1969,27.17,0.79,El Niño
SON,1969,27.2,0.86,El Niño
OND,1969,27.14,0.81,El Niño
NDJ,1969,26.98,0.63,El Niño
DJF,1970,26.93,0.51,El Niño
JFM,1970,26.98,0.34,Neutro
FMA,1970,27.29,0.29,Neutro
MAM,1970,27.51,0.19,Neutro
AMJ,1970,27.47,0.04,Neutro
MJJ,1970,26.96,-0.3,Neutro
JJA,1970,26.28,-0.63,La Niña
JAS,1970,25.81,-0.76,La Niña
ASO,1970,25.61,-0.77,La Niña
SON,1970,25.6,-0.74,La Niña
OND,1970,25.48,-0.86,La Niña
NDJ,1970,25.22,-1.15,La Niña
DJF,1971,25.1,-1.36,La Niña
JFM,1971,25.32,-1.38,La Niña
FMA,1971,25.92,-1.12,La Niña
MAM,1971,26.51,-0.85,La Niña
AMJ,1971,26.73,-0.73,La Niña
MJJ,1971,26.56,-0.74,La Niña
JJA,1971,26.15,-0.8,La Niña
JAS,1971,25.86,-0.77,La Niña
ASO,1971,25.64,-0.82,La Niña
SON,1971,25.58,-0.85,La Niña
OND,1971,25.46,-0.96,La Niña
NDJ,1971,25.52,-0.9,La Niña
DJF,1972,25.77,-0.71,La Niña
JFM,1972,26.35,-0.35,Neutro
FMA,1972,27.1,0.06,Neutro
MAM,1972,27.77,0.41,Neutro
AMJ,1972,28.13,0.67,El Niño
MJJ,1972,28.21,0.92,El Niño
JJA,1972,28.09,1.13,El Niño
JAS,1972,28.0,1.37,El Niño
ASO,1972,28.04,1.58,El Niño
SON,1972,28.26,1.84,El Niño
OND,1972,28.51,2.09,El Niño
NDJ,1972,28.54,2.12,El Niño
DJF,1973,28.32,1.84,El Niño
JFM,1973,27.95,1.25,El Niño
FMA,1973,27.59,0.54,El Niño
MAM,1973,27.26,-0.1,Neutro
AMJ,1973,26.92,-0.54,La Niña
MJJ,1973,26.42,-0.87,La Niña
JJA,1973,25.84,-1.11,La Niña
JAS,1973,25.35,-1.28,La Niña
ASO,1973,25.01,-1.45,La Niña
SON,1973,24.71,-1.71,La Niña
OND,1973,24.47,-1.95,La Niña
NDJ,1973,24.38,-2.03,La Niña
DJF,1974,24.64,-1.84,La Niña
JFM,1974,25.14,-1.55,La Niña
FMA,1974,25.82,-1.23,La Niña
MAM,1974,26.33,-1.03,La Niña
AMJ,1974,26.55,-0.91,La Niña
MJJ,1974,26.52,-0.77,La Niña
JJA,1974,26.42,-0.53,La Niña
JAS,1974,26.26,-0.37,Neutro
ASO,1974,26.06,-0.41,Neutro
SON,1974,25.82,-0.61,La Niña
OND,1974,25.67,-0.75,La Niña
NDJ,1974,25.78,-0.64,La Niña
DJF,1975,25.94,-0.54,La Niña
JFM,1975,26.13,-0.57,La Niña
FMA,1975,26.39,-0.65,La Niña
MAM,1975,26.63,-0.73,La Niña
AMJ,1975,26.64,-0.83,La Niña
MJJ,1975,26.31,-0.98,La Niña
JJA,1975,25.82,-1.13,La Niña
JAS,1975,25.43,-1.2,La Niña
ASO,1975,25.09,-1.37,La Niña
SON,1975,25.0,-1.43,La Niña
OND,1975,24.87,-1.55,La Niña
NDJ,1975,24.75,-1.65,La Niña
DJF,1976,24.9,-1.56,La Niña
JFM,1976,25.5,-1.17,La Niña
FMA,1976,26.28,-0.73,La Niña
MAM,1976,26.85,-0.47,Neutro
AMJ,1976,27.15,-0.28,Neutro
MJJ,1976,27.22,-0.05,Neutro
JJA,1976,27.15,0.18,Neutro
JAS,1976,27.04,0.35,Neutro
ASO,1976,27.15,0.62,El Niño
SON,1976,27.29,0.81,El Niño
OND,1976,27.32,0.86,El Niño
NDJ,1976,27.27,0.85,El Niño
DJF,1977,27.18,0.71,El Niño
JFM,1977,27.31,0.64,El Niño
FMA,1977,27.35,0.34,Neutro
MAM,1977,27.55,0.23,Neutro
AMJ,1977,27.64,0.21,Neutro
MJJ,1977,27.61,0.34,Neutro
JJA,1977,27.32,0.35,Neutro
JAS,1977,27.11,0.42,Neutro
ASO,1977,27.1,0.57,El Niño
SON,1977,27.21,0.73,El Niño
OND,1977,27.27,0.81,El Niño
NDJ,1977,27.21,0.79,El Niño
