comuna_id,nombre_comuna,nombre_region,total_clientes,potencia_total_kw,potencia_promedio_kw
6101,Rancagua,Region del Libertador Gral. Bernardo OHiggins,110459,649609.49,5.881001004897745
6102,Codegua,Region del Libertador Gral. Bernardo OHiggins,5049,50785.11,10.058449197860963
6103,Coinco,Region del Libertador Gral. Bernardo OHiggins,3502,27829.72,7.9468075385494
6104,Coltauco,Region del Libertador Gral. Bernardo OHiggins,8353,58633.87,7.019498383814199
6105,Doñihue,Region del Libertador Gral. Bernardo OHiggins,8352,79454.1,9.513182471264368
6106,Graneros,Region del Libertador Gral. Bernardo OHiggins,13184,92646.01,7.027154884708738
6107,Las Cabras,Region del Libertador Gral. Bernardo OHiggins,14239,107553.1,7.553416672519138
6108,Machali,Region del Libertador Gral. Bernardo OHiggins,23539,148242.54,6.297741620289733
6109,Malloa,Region del Libertador Gral. Bernardo OHiggins,5721,37190.02,6.500615277049467
6110,Mostazal,Region del Libertador Gral. Bernardo OHiggins,10136,102381.53,10.100782359905288
6111,Olivar,Region del Libertador Gral. Bernardo OHiggins,4888,43103.4,8.818207855973814
6112,Peumo,Region del Libertador Gral. Bernardo OHiggins,5927,37336.48,6.29938923570103
6113,Pichidegua,Region del Libertador Gral. Bernardo OHiggins,8787,87856.56,9.998470467736428
6114,Quinta de Tilcoco,Region del Libertador Gral. Bernardo OHiggins,5776,42646.79,7.383447022160665
6115,Rengo,Region del Libertador Gral. Bernardo OHiggins,27794,260785.1,9.382784054112399
6116,Requinoa,Region del Libertador Gral. Bernardo OHiggins,11447,122216.67,10.67674237791561
6117,San Vicente,Region del Libertador Gral. Bernardo OHiggins,22072,139146.7,6.304218013773107
6201,Pichilemu,Region del Libertador Gral. Bernardo OHiggins,14773,74112.28,5.016738644825018
6202,La Estrella,Region del Libertador Gral. Bernardo OHiggins,2344,26916.08,11.482969283276452
6203,Litueche,Region del Libertador Gral. Bernardo OHiggins,5416,42304.68,7.811056129985229
6204,Marchihue,Region del Libertador Gral. Bernardo OHiggins,4770,56611.81,11.868303983228511
6205,Navidad,Region del Libertador Gral. Bernardo OHiggins,7392,34872.25,4.717566287878788
6206,Paredones,Region del Libertador Gral. Bernardo OHiggins,4917,28827.600000000002,5.862843197071386
6301,San Fernando,Region del Libertador Gral. Bernardo OHiggins,35650,226690.42,6.358777559607294
6302,Chepica,Region del Libertador Gral. Bernardo OHiggins,7030,48036.55,6.833079658605975
6303,Chimbarongo,Region del Libertador Gral. Bernardo OHiggins,15015,104074.42,6.9313633033633035
6304,Lolol,Region del Libertador Gral. Bernardo OHiggins,4119,38594.14,9.369783928137897
6305,Nancagua,Region del Libertador Gral. Bernardo OHiggins,7984,78778.37,9.867030310621242
6306,Palmilla,Region del Libertador Gral. Bernardo OHiggins,5664,46956.01,8.29025600282486
6307,Peralillo,Region del Libertador Gral. Bernardo OHiggins,6013,56093.36,9.328681190753368
6308,Placilla,Region del Libertador Gral. Bernardo OHiggins,4258,34427.12,8.085279473931424
6309,Pumanque,Region del Libertador Gral. Bernardo OHiggins,2475,16703.53,6.74890101010101
6310,Santa Cruz,Region del Libertador Gral. Bernardo OHiggins,19567,129421.28,6.6142627893903
7101,Talca,Region del Maule,112049,688674.38,6.146189434979339
7102,Constitucion,Region del Maule,23869,161280.14,6.756887175834765
7103,Curepto,Region del Maule,5883,28595.22,4.860652728199899
7104,Empedrado,Region del Maule,1904,10398.77,5.461538865546219
7105,Maule,Region del Maule,25081,140596.75,5.605707507675133
7106,Pelarco,Region del Maule,4787,29539.52,6.170779193649468
7107,Pencahue,Region del Maule,5054,46600.99,9.22061535417491
7108,Rio Claro,Region del Maule,7099,57463.98,8.094658402591914
7109,San Clemente,Region del Maule,23720,112127.86,4.727144182124789
7110,San Rafael,Region del Maule,5195,41301.090000000004,7.9501616939364785
7201,Cauquenes,Region del Maule,24657,168433.19,6.831049600519123
7202,Chanco,Region del Maule,4431,32773.73,7.396463552245543
7203,Pelluhue,Region del Maule,8039,41535.24,5.1667172533897245
7301,Curico,Region del Maule,71709,481940.139,6.720776178722336
7302,Hualañe,Region del Maule,5474,29485.15,5.3863993423456344
7303,Licanten,Region del Maule,4896,25607.57,5.230304330065359
7304,Molina,Region del Maule,22528,163630.93000000002,7.2634468217329555
7305,Rauco,Region del Maule,5431,36411.05,6.704299392377095
7306,Romeral,Region del Maule,8278,79687.13,9.626374728195216
7307,Sagrada Familia,Region del Maule,7902,82865.3,10.486623639584916
7308,Teno,Region del Maule,13396,136605.96600000001,10.197519110182146
7309,Vichuquen,Region del Maule,3987,20107.12,5.04317030348633
7401,Linares,Region del Maule,50959,399080.68,7.831407209717616
7402,Colbun,Region del Maule,12121,101789.58,8.397787311277947
7403,Longavi,Region del Maule,16337,134629.13,8.240749831670442
7404,Parral,Region del Maule,24636,158217.33000000002,6.422200438382855
7405,Retiro,Region del Maule,12493,112818.22,9.030514688225406
7406,San Javier,Region del Maule,25260,175568.54,6.950456848772763
7407,Villa Alegre,Region del Maule,8911,60814.340000000004,6.8246369655481995
7408,Yerbas Buenas,Region del Maule,9310,84732.41,9.101225563909775
8101,Concepcion,Region del Biobio,116152,798438.7000000001,6.874084819891178
8102,Coronel,Region del Biobio,48431,384950.71,7.9484361256220195
8103,Chiguayante,Region del Biobio,32022,164436.98,5.135125226406846
8104,Florida,Region del Biobio,8032,39690.926,4.941599352589641
8105,Hualqui,Region del Biobio,11559,56223.020000000004,4.864003806557661
8106,Lota,Region del Biobio,17083,118661.95,6.946200901481005
8107,Penco,Region del Biobio,17434,108699.36,6.234906504531375
8108,San Pedro de la Paz,Region del Biobio,60394,367104.64,6.078495214756433
8109,Santa  Juana,Region del Biobio,8635,48786.43,5.649847133757961
8110,Talcahuano,Region del Biobio,53915,395702.08,7.339369006769916
8111,Tome,Region del Biobio,26897,142075.63,5.28221102725211
8112,Hualpen,Region del Biobio,34154,188979.58000000002,5.533160976752358
8201,Lebu,Region del Biobio,10934,65206.36,5.963632705322846
8202,Arauco,Region del Biobio,17677,105481.453,5.967158058494088
8203,Cañete,Region del Biobio,16912,97418.148,5.760297303689688
8204,Contulmo,Region del Biobio,3042,16797.19,5.521758711374096
8205,Curanilahue,Region del Biobio,12775,83052.276,6.50115663405088
8206,Los Alamos,Region del Biobio,10481,59668.044,5.692972426295201
8207,Tirua,Region del Biobio,3930,22003.61,5.598882951653944
8301,Los Angeles,Region del Biobio,100290,683535.76,6.815592382091934
8302,Antuco,Region del Biobio,2443,13978.856,5.722004093327875
8303,Cabrero,Region del Biobio,15842,104193.78,6.577059714682489
8304,Laja,Region del Biobio,11405,66083.78,5.794281455501973
8305,Mulchen,Region del Biobio,12515,80716.01000000001,6.449541350379545
8306,Nacimiento,Region del Biobio,12320,73870.06,5.995946428571428
8307,Negrete,Region del Biobio,4988,34375.46,6.89163191659984
8308,Quilaco,Region del Biobio,2559,15270.35,5.967311449785073
8309,Quilleco,Region del Biobio,4486,26905.41,5.997639322336157
8310,San Rosendo,Region del Biobio,1863,10667.676,5.726074074074074
8311,Santa Barbara,Region del Biobio,6817,37911.89,5.561374504914185
8312,Tucapel,Region del Biobio,8739,56706.786,6.488933058702369
8313,Yumbel,Region del Biobio,14226,75305.849,5.293536412203009
8314,Alto Bio bio,Region del Biobio,2464,10476.779999999999,4.251939935064935
9101,Temuco,Region de La Araucania,136894,861163.9180000001,6.2907352988443614
9102,Carahue,Region de La Araucania,10908,63837.054,5.8523151815181516
9103,Cunco,Region de La Araucania,10608,64925.749,6.1204514517345405
9104,Curarrehue,Region de La Araucania,3834,18724.260000000002,4.883740219092332
9105,Freire,Region de La Araucania,13184,94265.76999999999,7.150012894417475
9106,Galvarino,Region de La Araucania,4571,26945.038,5.894779698096697
9107,Gorbea,Region de La Araucania,7504,53151.18,7.083046375266525
9108,Lautaro,Region de La Araucania,19482,152076.35,7.805992711220614
9109,Loncoche,Region de La Araucania,13241,82974.18,6.266458726682274
9110,Melipeuco,Region de La Araucania,3373,20679.98,6.131034687222058
9111,Nueva Imperial,Region de La Araucania,15530,98450.723,6.339389761751448
9112,Padre Las Casas,Region de La Araucania,27412,145639.72,5.31299139063184
9113,Perquenco,Region de La Araucania,3342,23463.660000000003,7.02084380610413
9114,Pitrufquen,Region de La Araucania,13134,71435.85,5.43900182731841
9115,Pucon,Region de La Araucania,24166,151194.02,6.256476868327402
9116,Saavedra,Region de La Araucania,5781,32175.25,5.565689327106037
9117,Teodoro Schmidt,Region de La Araucania,7794,44069.391,5.654271362586606
9118,Tolten,Region de La Araucania,4921,28896.58,5.872095102621419
9119,Vilcun,Region de La Araucania,13943,92124.23,6.6072028975112955
9120,Villarrica,Region de La Araucania,41822,248260.67,5.9361262015207314
9121,Cholchol,Region de La Araucania,4764,26544.58,5.571910159529807
9201,Angol,Region de La Araucania,25435,170603.864,6.707445016709259
9202,Collipulli,Region de La Araucania,10428,63787.128,6.116909090909091
9203,Curacautin,Region de La Araucania,10887,64596.388,5.933350601634977
9204,Ercilla,Region de La Araucania,2998,19327.010000000002,6.446634422948633
9205,Lonquimay,Region de La Araucania,5345,30357.494,5.679605986903648
9206,Los Sauces,Region de La Araucania,3641,23634.446,6.491196374622357
9207,Lumaco,Region de La Araucania,3598,21009.13,5.839113396331295
9208,Puren,Region de La Araucania,5703,32918.465,5.772131334385411
9209,Renaico,Region de La Araucania,5043,36957.75,7.328524687685901
9210,Traiguen,Region de La Araucania,8950,57011.755000000005,6.370028491620112
9211,Victoria,Region de La Araucania,16248,108409.076,6.672148941408174
